INDE_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,MEDIA_INDICADORES_2020,STD_INDICADORES_2020,MIN_INDICADORES_2020,MAX_INDICADORES_2020,RATIO_IDA_IAN,RATIO_IEG_IPS,DIFF_INDE_MEDIA,PEDRA_2020_NORM,PONTO_VIRADA_2020_NORM,INSTITUICAO_ENSINO_ALUNO_2020_NORM,FASE_TURMA_2020_NORM,IDADE_ALUNO_2020,ANOS_PM_2020,FAIXA_ETARIA,RATIO_ANOS_PM_IDADE,RISCO_DEFASAGEM
8.750001000000001,9.000020000000001,10.0,10.0,8.5,7.5,6.999995,10.0,8.857145,1.2488105769924969,6.999995,10.0,0.84999915000085,0.9999990000010001,-0.10714399999999813,topazio,nao,escola publica,0b,8.0,0.0,0.0,0.0,0
7.263334,9.50002,9.9,2.5,10.0,2.5,6.66666,5.0,6.580954285714285,3.3427040047784526,2.5,10.0,1.9999960000080002,3.95998416006336,0.6823797142857151,agata,nao,escola publica,0d,9.0,1.0,0.0,0.11111098765445816,1
8.188612666666666,8.33334,9.2,5.625,6.666666666666667,8.749999999999998,8.722226666666666,10.0,8.185319047619048,1.517301752319404,5.625,10.0,0.6666660000006667,1.6355526479064038,0.003293619047617824,ametista,sim,rede decisao/uniao,4l,14.0,4.0,2.0,0.2857140816327988,0
9.04042,10.00002,9.4,7.5,9.5,5.9375,9.58334,10.0,8.845837142857143,1.5390943495198106,5.9375,10.00002,0.9499990500009501,1.2533316622244506,0.19458285714285672,topazio,sim,rede decisao/uniao,2d,11.0,2.0,1.0,0.1818180165290759,1
7.073542833333333,8.33334,5.8,7.5,7.666666666666667,7.96875,7.5000025,5.0,7.109822738095239,1.225852888531868,5.0,8.33334,1.5333302666728001,0.7733323022235971,-0.03627990476190579,agata,nao,escola publica,3m,14.0,1.0,2.0,0.0714285204081997,1
6.846668,9.000020000000001,6.4,6.875,4.5,5.625,7.58333,10.0,7.140478571428572,1.9025624950789273,4.5,10.0,0.44999955000045,0.9309077368614738,-0.2938105714285717,agata,nao,escola publica,2h,10.0,2.0,0.0,0.1999998000002,0
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
6.7552085,7.08333,6.0,7.5,4.0,7.96875,7.5000025,10.0,7.150297500000001,1.838808381437215,4.0,10.0,0.3999996000004,0.7999989333347556,-0.39508900000000047,agata,nao,escola publica,3b,12.0,1.0,1.0,0.08333326388894677,0
7.336876333333333,9.58335,8.2,7.5,6.666666666666667,7.96875,6.791665,5.0,7.387204523809524,1.4380077054456388,5.0,9.58335,1.3333306666720002,1.0933318755574992,-0.05032819047619164,ametista,nao,escola publica,3a,15.0,1.0,2.0,0.06666662222225185,1
7.393752,9.50002,8.0,7.5,6.0,8.4375,7.75,5.0,7.45536,1.5098309587058634,5.0,9.50002,1.1999976000048,1.0666652444463407,-0.06160799999999966,ametista,nao,escola publica,2d,12.0,2.0,1.0,0.16666652777789354,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
